1.402617516917574868e-08,1.000000534115623063e+00,1.402617510794337628e-08
7.418076343459752975e-01,2.795926730021534024e-01,6.106063075945904473e-01
9.682415430714162384e-07,4.077521482114214724e-01,9.131268727212188407e-01
1.320134172090854434e-05,6.772522199381139085e-01,7.362451853101932286e-01
8.759890435501359596e-01,3.633477683458413154e-01,3.173608879882212075e-01
4.101987655080572837e-01,4.110392285117652200e-01,8.141517060326389776e-01
6.096025884250502180e-01,2.994775490448399191e-01,7.342811766924205452e-01
1.088084742854534497e-05,8.301991361411634740e-01,5.577743524068256020e-01
3.545360391714081350e-01,2.728365900463669108e-05,9.351732639670290448e-01
7.872965064730715889e-01,3.387095363130973036e-01,5.153704241556730237e-01
9.571724614218364291e-01,2.949196755105645273e-01,1.502438516443803087e-06
4.550132738496458495e-01,4.794201581483436558e-01,7.504328492130586392e-01
6.612720735282978657e-01,5.287883201330370042e-01,5.320926646944346139e-01
4.424160812723003655e-01,8.969871392861040738e-01,1.314133896839909797e-06
6.689084277682901813e-01,3.376852018399761901e-01,6.623333281319057075e-01
7.013922097767740782e-01,5.713984220396269853e-01,4.261876405277292834e-01
4.484361493141354460e-01,2.818986014347142355e-01,8.483988938133975033e-01
7.437132613219592392e-06,5.290886150862018633e-01,8.487236145859063940e-01
3.328198184737251597e-01,3.372021887620029745e-01,8.806676552931692603e-01
4.094200566367632789e-07,9.809001603583419326e-01,1.945370461691439123e-01
9.094467185790956476e-01,4.560441724815806805e-05,4.161611283175911113e-01
8.901328998205489951e-01,4.593665786315930810e-01,3.726744163383061462e-05
9.361596656480121181e-01,3.552897214413708316e-01,4.445674185650647163e-05
3.082086569489807526e-01,9.514202757947233247e-01,3.016070932702386132e-05
3.793751411165864340e-01,9.253743371637291881e-01,1.258481294210701999e-05
2.820993997524008923e-01,8.423492074802222396e-01,4.592765653530331282e-01
3.135246721183800322e-01,7.804843247910983051e-01,5.409342699325577764e-01
9.504054845698006585e-06,3.292252428679521836e-01,9.442819956074389731e-01
3.622376576753550403e-01,7.168214015240232939e-01,5.958542457337233644e-01
9.619375722848896304e-01,2.362053089724584369e-06,2.733732282244822898e-01
6.139078102277520932e-01,6.252765464385433569e-01,4.818713634889356667e-01
4.078949617001844108e-01,8.104917103718707327e-01,4.206625270553200346e-01
7.138053289777511745e-01,4.549169320446299312e-04,7.065927165495307083e-01
8.659645904088034696e-01,5.038789076688938717e-01,4.906863850768619558e-05
8.470039990627168391e-01,3.060210558634697264e-01,4.348624281727091478e-01
2.837132282761750113e-01,9.152893747818418024e-01,2.860802986925444769e-01
